data,index_price,equity,margin_required,bid,ask
02/04/2020 13:18:42.192,5202,5000.90,4997.00,1.10492,1.10493
02/04/2020 13:28:34.001,5203,5000.28,4995.08,1.10461,1.1046
02/04/2020 13:32:08.144,5204,5001.52,4996.32,1.10492,1.10493
02/10/2020 04:57:00.057,5205,5000,5000.00,1.09559,1.09561
02/10/2020 06:55:34.277,5206,5000.31,4999.01,1.09526,1.09526
02/10/2020 07:01:43.027,5207,5000.30,4997.70,1.09494,1.09495
02/10/2020 07:20:40.670,5208,5000.94,4998.34,1.09527,1.09527
02/10/2020 07:45:36.011,5209,5000.62,4996.72,1.09495,1.09495
02/10/2020 07:55:33.186,5210,4999.66,4995.76,1.09463,1.09464
02/10/2020 08:36:22.262,5211,5000.96,4995.76,1.09496,1.09497
02/10/2020 08:52:54.371,5212,5001.93,4995.43,1.09529,1.0953
02/10/2020 09:04:58.247,5213,5000,5000.00,1.09497,1.09497
02/10/2020 09:49:28.937,5214,5000.31,4999.01,1.09466,1.09466
02/10/2020 09:59:20.625,5215,5000.31,4997.71,1.09499,1.09499
02/10/2020 10:09:58.121,5216,5000.00,4996.10,1.0953,1.0953
02/10/2020 10:43:54.386,5217,5000.96,4997.06,1.09499,1.09498
02/10/2020 11:02:56.379,5218,5001.72,4996.52,1.09461,1.0946
02/10/2020 11:14:07.440,5219,5000,5000.00,1.09492,1.09493
02/10/2020 11:48:16.720,5220,4999.67,4998.37,1.09525,1.09524
02/10/2020 11:59:59.610,5221,5000.29,4997.69,1.09492,1.09493
02/10/2020 13:27:10.823,5222,4999.96,4996.06,1.09525,1.09525
02/10/2020 13:31:55.031,5223,5000.89,4996.99,1.09494,1.09494
02/10/2020 13:45:41.016,5224,5001.51,4996.31,1.09463,1.09463
02/10/2020 13:50:29.202,5225,5000,5000.00,1.09431,1.09432
02/10/2020 13:52:14.813,5226,5000.31,4999.01,1.09398,1.09399
02/10/2020 13:53:47.046,5227,5000.30,4997.70,1.09366,1.09366
02/10/2020 13:57:13.432,5228,4999.68,4997.08,1.09335,1.09335
02/10/2020 13:59:12.824,5229,4998.75,4994.85,1.09304,1.09304
02/10/2020 14:03:40.424,5230,4999.99,4994.79,1.09335,1.09335
02/10/2020 14:07:13.501,5231,4999.06,4992.56,1.09304,1.09304
02/10/2020 14:12:43.478,5232,4997.51,4992.31,1.09273,1.09273
02/10/2020 14:16:50.622,5233,5000.32,4993.82,1.09304,1.09305
02/10/2020 15:03:05.516,5234,4999.03,4991.23,1.09272,1.09272
02/10/2020 15:11:27.260,5235,5000.89,4993.09,1.09303,1.09304
02/10/2020 15:17:45.451,5236,5002.54,4993.44,1.09336,1.09335
02/10/2020 15:26:58.263,5237,5000,5000.00,1.09367,1.09368
02/10/2020 15:36:13.294,5238,5000.31,4999.01,1.09336,1.09335
02/10/2020 15:43:24.646,5239,5000.29,4997.69,1.09302,1.09303
02/10/2020 15:48:44.191,5240,4999.65,4997.05,1.09271,1.0927
02/10/2020 15:53:50.082,5241,4998.63,4994.73,1.09237,1.09238
02/10/2020 15:58:04.921,5242,4997.33,4993.43,1.09205,1.09205
02/10/2020 15:58:57.896,5243,4999.87,4994.67,1.09236,1.09236
02/10/2020 16:09:28.174,5244,4998.90,4992.40,1.09204,1.09205
02/10/2020 16:19:04.471,5245,4997.28,4992.08,1.09172,1.09172
02/10/2020 16:21:29.895,5246,4997.04,4991.84,1.09141,1.09141
02/10/2020 16:31:30.379,5247,4996.73,4991.53,1.09109,1.0911
02/10/2020 16:50:11.482,5248,4999.65,4993.15,1.09142,1.09142
02/10/2020 17:04:08.152,5249,5000.89,4993.09,1.09173,1.09173
02/10/2020 17:31:59.603,5250,5001.51,4998.91,1.09142,1.09142
02/10/2020 17:59:12.232,5251,5000,5000.00,1.09111,1.09111
02/10/2020 18:10:34.041,5252,4999.69,4998.39,1.09142,1.09142
02/10/2020 20:27:06.762,5253,5000.31,4997.71,1.09109,1.09111
02/11/2020 01:19:11.189,5254,4999.98,4996.08,1.09144,1.09143
02/11/2020 04:44:06.152,5255,5000.91,4997.01,1.09111,1.09112
02/11/2020 05:05:01.825,5256,5001.56,4996.36,1.09079,1.09079
02/11/2020 05:17:29.091,5257,5000,5000.00,1.0911,1.09111
02/11/2020 07:04:20.866,5258,5000.31,4999.01,1.09079,1.09078
